Target Distance: 123, Step Size: 21
0: (x,y) = (0, 0)
1: (x,y) = (-19.0325, -8.87498)
2: (x,y) = (-7.10543e-15, -17.75)
3: (x,y) = (18.7111, -27.2838)
4: (x,y) = (21.2704, -48.1272)
5: (x,y) = (40.3029, -39.2523)
6: (x,y) = (39.9364, -18.2555)
7: (x,y) = (55.5424, -32.3072)
8: (x,y) = (66.0424, -50.4937)
9: (x,y) = (76.2234, -68.8607)
10: (x,y) = (65.7234, -87.0473)
11: (x,y) = (60.2882, -66.7628)
12: (x,y) = (59.5553, -87.75)
13: (x,y) = (39.8218, -80.5676)
14: (x,y) = (33.3324, -60.5954)
15: (x,y) = (38.4128, -40.2192)
16: (x,y) = (32.9776, -19.9348)
17: (x,y) = (33.3441, 1.06202)
18: (x,y) = (24.1383, -17.8127)
19: (x,y) = (25.2373, 3.15857)
20: (x,y) = (46.0808, 0.599313)
21: (x,y) = (65.2653, 9.14078)
22: (x,y) = (62.706, -11.7027)
23: (x,y) = (83.706, -11.7027)
24: (x,y) = (93.887, 6.66433)
25: (x,y) = (107.386, -9.42261)
After 26 steps, the subject has the following location:
 or
(m,a) = (127.51, -1.47527)
Average outward distance per step = 4.90424
Target Distance: 12354, Step Size: 123
0: (x,y) = (0, 0)
1: (x,y) = (-96.9253, 75.7264)
2: (x,y) = (-219.626, 84.3064)
3: (x,y) = (-165.706, 194.858)
4: (x,y) = (-232.697, 298.015)
5: (x,y) = (-117.866, 342.094)
6: (x,y) = (-40.4599, 246.505)
7: (x,y) = (67.1184, 186.873)
8: (x,y) = (189.202, 171.883)
9: (x,y) = (308.548, 142.127)
10: (x,y) = (202.027, 203.627)
11: (x,y) = (217.017, 81.5438)
12: (x,y) = (95.2138, 64.4255)
13: (x,y) = (200.645, 127.775)
14: (x,y) = (265.825, 232.085)
15: (x,y) = (231.922, 113.85)
16: (x,y) = (122.328, 169.691)
17: (x,y) = (92.5718, 50.3444)
18: (x,y) = (150.317, 158.947)
19: (x,y) = (30.0047, 133.374)
20: (x,y) = (-14.0746, 18.5434)
21: (x,y) = (103.551, -17.4183)
22: (x,y) = (226.532, -19.565)
23: (x,y) = (115.056, 32.4171)
24: (x,y) = (1.8342, -15.6429)
25: (x,y) = (49.8941, -128.865)
26: (x,y) = (142.723, -209.56)
27: (x,y) = (73.9427, -107.589)
28: (x,y) = (113.988, 8.71018)
29: (x,y) = (230.286, 48.7551)
30: (x,y) = (198.452, -70.0538)
31: (x,y) = (181.333, -191.857)
32: (x,y) = (296.916, -149.788)
33: (x,y) = (176.603, -175.361)
34: (x,y) = (222.68, -61.3178)
35: (x,y) = (344.166, -42.0764)
36: (x,y) = (251.336, -122.772)
37: (x,y) = (132.527, -154.606)
38: (x,y) = (92.4826, -38.3076)
39: (x,y) = (92.4826, 84.6924)
40: (x,y) = (-15.0956, 144.324)
41: (x,y) = (71.8785, 57.3498)
42: (x,y) = (4.8879, 160.506)
43: (x,y) = (17.7449, 38.1801)
44: (x,y) = (-96.2987, 84.2567)
45: (x,y) = (-66.5423, 203.603)
46: (x,y) = (-185.889, 173.847)
47: (x,y) = (-71.8451, 219.923)
48: (x,y) = (10.458, 128.517)
49: (x,y) = (116.979, 190.017)
